0|假；错误（C++ 布尔运算，0 表示假）
1|真；正确（C++ 布尔运算，1 表示真）
1=/2=/3=|“一等”，“二等”，“三等”的谐音，用于描述奖项
(/（大雾|表示开玩笑，或者不清楚自己说的是否正确
【数据删除】|指用户不想让或不能让别人看到一些东西，语气比较严肃
ABC|AtCoder Beginner Contest，AtCoder 中最简单的比赛
AC|Accepted，通过了一道题目
AFO|Away from OI，指 OIer 退出信息学奥赛
Ag|银牌，Ag 为银的化学符号
AGC|AtCoder Grand Contest，AtCoder 中最难的比赛
AK/AKer|All Kill(ed)，AC了一场比赛或一套题中的所有题目
ARC|AtCoder Regular Contest，难度介于 ABC 和 AGC 之间的比赛
Au|金牌，Au 为金的化学符号
Aya速度|指管理员 @chen_zhe 禁言/处理事情的速度很快
bdfs/bfs|百度优先搜索，用于批判不先搜索就提问的“伸手党”
bdjw|“不懂就问”的拼音首字母缩写，提问语气词
暴政|指管理员过度的进行惩罚（贬义），或指惩罚速度很快（褒义）
爆零/抱灵|在一场比赛或一道题中拿到零分
摆烂|事情无法向好发展，干脆不再控制，引申为颓废/不好好写题
犇犇/bb|洛谷特有的聊天区，发布的动态只有关注你的人能看见
不懂就问/bdjw|提问语气词，一般放在句首
btd, jbl|“标题党，举报了”的首字母缩写
bzd|“不知道”的拼音首字母缩写
C艹|指 C++，同时体现了想要精通它的难度
抄题解/ctj|抄袭某道题目的题解
差不多得了/cbddl|形容某种行为过度，有轻蔑或批评之意
CCF/€€£|中国计算机协会，算法各项竞赛的举办者
CF/Codeforces|国外著名编程网站 Codeforces
吃枣药丸|“迟早要完”的变形
Cu|铜牌，Cu 为铜的化学符号
cz/绿鸟|洛谷管理员 @chen_zhe，绿鸟是他早期的头像
大红大紫|评测记录上的颜色很多，形容一篇代码有很多错误
大佬/神仙/神犇|指在 OI 方面很强的人，与“蒟蒻”反义
D人/D|“怼人”的首字母缩写
对拍|用暴力程序与正解同时测试数据，来保证正解正确性
毒瘤|指很难且坑的题，或指此类题目的出题人
done|完成，不常用，一般在问卷回答完毕后写 done
emm|“嗯…”，有思考加敷衍之意
exlg|洛谷实用油猴插件 extend-luogu
FAKE/fake|指大佬装作很弱的虚伪模样
飞机/ez|洛谷前管理员 @ezoixx130
粉福|粉丝到达一定数量时发送的福利
伏拉夫|指那些明明很厉害却装弱的人
盖楼|叠加讨论的页数和回复数，常与“考古”搭配
改犇|套用洛谷原来的犇犇格式，伪装成受害者发言
gks|洛谷首页的公开赛
咕咕/gg|文章或任务需要拖更，或指干事拖拉的人（鸽子的叫声）
咕值|洛谷特有的一种计分标准
挂分|在比赛中未取得理想的成绩
谷民|洛谷所有用户的统称
谷群/HL|Hello, Luogu，洛谷用户的 QQ 群聊之一
海星/珂海星|“还行”的谐音
好氧|开启 O2 优化后效率有显著提升的程序
红黑名/LGM|Codeforces 上名字首字母为黑色其余为红色的用户，代表顶尖水平
红名特权|讽刺批判了名字颜色歧视（贬义）
后排|帖子靠后的评论位置
和谐|指删除或爆破
猴子|发言时出言不逊，以求博得他人眼光的人（贬义）
互关/壶关|A 关注 B 后，B 也关注 A
火车头|指在代码前面手动开启优化的一长段代码，目前洛谷已禁用
机房惨案/jc|盗用别人账号做违反社区规则的事，迫使其受罚
jcer|指机惨他人的人
皎胖洒花|洛谷管理员 @皎月半洒花
卷王/卷壬|指做题数量巨大的人
蒟蒻/蒻|“巨弱”的谐音，指很弱的人，常被大佬用于自谦
卡常|刻意降低代码时间复杂度的常数，以通过题目时限
考古/烤谷|在某个远古帖子的评论区留言
科学上网/珂学上网|本义是充分利用网络资源，引申义有很多
快进到____|指按照某种趋势发展下去，预测最终会变成的样子
kkk/3k|洛谷站长 @kkksc03
蓝书|李煜东的《算法竞赛进阶指南》，因颜色得名
老爷机|指运行速度很慢的机器
留名/刘明|在某个帖子下留言，见证自己来过
楼主/lz|某个帖子的发帖用户
lol|laugh out loud，大笑
洛谷日爆|洛谷出现 502 报错或无法访问时，对“洛谷日报”的谐音
ltt/林兔兔|洛谷站长 @lin_toto
lxl/duliu|洛谷管理员 @noip，特点为出“毒瘤题”
膜/膜拜/%|对强者的能力发出赞叹，表示崇拜
萌新/mx|刚开始学 OI 的人，常被大佬用于虚伪自谦
面基|网友在线下见面
main包/面包姐|洛谷前管理员 @扩散性百万甜面包
MO/数竞|Mathematical Olympiad，数学奥林匹克竞赛
nhml|“你号没了”的缩写，常见于敏感内容评论区
你谷/洛咕/lg|均指洛谷
NOIP|因 NOIP 比赛在 2019 年停办，2020 年恢复，故有“复活”之义
OI/信奥|信息学奥林匹克竞赛 (Olympiad in Informatics)，作动词时指编程
OIer|指学习信息学竞赛的学生
OI wiki|信息学奥赛的知识梳理维基百科
OJ|Online Judge，在线评测系统
Orz/STO|象形文字，表示下跪的姿势，表达对一个人的膜拜
爬/爪巴|象形文字“爬”，有愤怒之意
前排/qp|表示一条帖子的前几个评论位置
前排资瓷/qpzc|前排支持
评测姬|对“评测机”的爱称，体现其“可爱”
破事水/pss|表示对灌水帖行为的不满
pj/tg|普及组/提高组的首字母缩写
PKU|北京大学 Peking University 的简称
雀食/qs|“确实”的谐音，表达肯定之义
人品/rp|运气。常用搭配：rp++（祝福考试取得好成绩）
RMJ/rmj|Remote Judge，指在洛谷上提交其它网站的题目
RT/如题|“如题”的缩写，意为如标题所说
三克油|“thank you”的谐音
SF|洛谷管理员 @StudyingFather
神帖/神贴|因作者言论出奇而吸引大量关注的帖子
神兔/兔队|洛谷管理员 @小粉兔
生快/快生|“生日快乐”的简写
伸手党/ssd|不经过自己思考，只向别人索取资源的人（贬义）
深基|洛谷出版书目《深入浅出程序设计竞赛（基础版）》
深进|洛谷出版书目《深入浅出程序设计竞赛（进阶版）》
