LCA|Lowest Common Ancestor / 最近公共祖先，树论基础算法 (oi-wiki.org/graph/lca/)
LIS|Longest Increasing Subsequence / 最长上升子序列，经典DP问题 (oi-wiki.org/dp/basic/#最长不下降子序列)
LCS|Longest Common Subsequence / 最长公共子序列，经典DP问题
背包|背包问题，DP经典模型，包括01背包、完全背包等 (oi-wiki.org/dp/knapsack/)
线段树|Segment Tree，用于区间查询与修改的数据结构 (oi-wiki.org/ds/seg/)
树状数组|Fenwick Tree / BIT，用于单点修改、前缀查询的数据结构 (oi-wiki.org/ds/fenwick/)
并查集|DSU / Union-Find，处理集合合并与查询的结构 (oi-wiki.org/ds/dsu/)
平衡树|Balanced Tree，如 Treap、Splay，用于维护有序序列 (oi-wiki.org/ds/bst/)
莫队|Mo's Algorithm，离线处理区间查询的算法 (oi-wiki.org/misc/mo-algo/)
分块|将数组分成若干块处理，平衡复杂度 (oi-wiki.org/ds/decompose/)
前缀和|Prefix Sum，快速求区间和的预处理方法 (oi-wiki.org/basic/prefix-sum/)
差分|Difference Array，用于区间加法的预处理 (oi-wiki.org/basic/prefix-sum/#差分)
离散化|将大范围数值映射到连续小范围坐标 (oi-wiki.org/misc/discrete/)
拓扑排序|Topological Sort，有向无环图的线性排序 (oi-wiki.org/graph/topo/)
强连通分量|SCC / Strongly Connected Component，有向图中极大强连通子图 (oi-wiki.org/graph/scc/)
缩点|将强连通分量压缩成一个节点，用于DAG处理
割点|Articulation Point，删除后使图不连通的点 (oi-wiki.org/graph/cut/)
割边|Bridge，删除后使图不连通的边 (oi-wiki.org/graph/cut/#桥)
网络流|Network Flow，最大流/最小割问题 (oi-wiki.org/graph/flow/)
费用流|Min-Cost Max-Flow，带权网络流 (oi-wiki.org/graph/flow/min-cost/)
二分图|Bipartite Graph，可二染色图，常见于匹配问题 (oi-wiki.org/graph/bi-graph/)
匈牙利算法|求解二分图最大匹配的算法 (oi-wiki.org/graph/bi-graph/#匈牙利算法)
KMP|Knuth-Morris-Pratt 字符串匹配算法，O(n+m) 复杂度 (oi-wiki.org/string/kmp/)
哈希|Hash，将字符串映射为数字，用于快速比较 (oi-wiki.org/string/hash/)
字符串哈希|将字符串映射为整数的哈希方法 (oi-wiki.org/string/hash/)
Manacher|马拉车算法，O(n) 求解最长回文子串 (oi-wiki.org/string/manacher/)
后缀自动机|SAM / Suffix Automaton，处理字符串子串问题的强力数据结构 (oi-wiki.org/string/sam/)
后缀数组|SA / Suffix Array，字符串后缀排序 (oi-wiki.org/string/sa/)
字典树|Trie，用于高效存储和查询字符串集合 (oi-wiki.org/string/trie/)
FFT|Fast Fourier Transform / 快速傅里叶变换，用于多项式乘法 (oi-wiki.org/math/poly/fft/)
NTT|Number Theoretic Transform，FFT的模数版本 (oi-wiki.org/math/poly/ntt/)
生成函数|Generating Function，用多项式表示数列的数学工具 (oi-wiki.org/math/poly/intro/)
高斯消元|Gaussian Elimination，解线性方程组 (oi-wiki.org/math/linear-algebra/gauss/)
线性基|Linear Basis，处理异或空间最大/最小/第k小值 (oi-wiki.org/math/linear-basis/)
博弈论|Game Theory，如 Nim 游戏、SG 函数 (oi-wiki.org/math/game-theory/)
SG函数|Sprague-Grundy 函数，用于求解组合博弈问题 (oi-wiki.org/math/game-theory/#sg-定理)
数位DP|按位进行动态规划，处理与数字各位相关的计数问题 (oi-wiki.org/dp/number/)
斜率优化|DP斜率优化，将转移方程化为直线形式 (oi-wiki.org/dp/opt/slope/)
四边形不等式|DP四边形不等式优化，用于区间DP (oi-wiki.org/dp/opt/quadrangle/)
状态压缩|State Compression，用二进制位表示状态，常用于DP (oi-wiki.org/dp/state/)
树形DP|Tree DP，在树上进行的动态规划 (oi-wiki.org/dp/tree/)
单调栈|Monotone Stack，维护单调递增或递减的栈 (oi-wiki.org/ds/monotonous-stack/)
单调队列|Monotone Queue，维护区间最值的队列 (oi-wiki.org/ds/monotonous-queue/)
ST表|Sparse Table，O(1) 查询区间最值 (oi-wiki.org/ds/sparse-table/)
笛卡尔树|Cartesian Tree，二叉树，满足堆性质和中序遍历性质 (oi-wiki.org/ds/cartesian-tree/)
扫描线|Sweep Line，解决矩形面积并、周长等问题 (oi-wiki.org/geometry/scanning/)
最小生成树|MST / Minimum Spanning Tree，图论经典问题 (oi-wiki.org/graph/mst/)
最短路|Shortest Path，如 Dijkstra、SPFA、Floyd 算法 (oi-wiki.org/graph/shortest-path/)
Dijkstra|单源最短路算法，适用于非负权图 (oi-wiki.org/graph/shortest-path/#dijkstra-算法)
SPFA|Shortest Path Faster Algorithm，可处理负权边 (oi-wiki.org/graph/shortest-path/#bellman-ford-算法)
Floyd|全源最短路算法，动态规划思想 (oi-wiki.org/graph/shortest-path/#floyd-算法)
欧拉路|Eulerian Path，经过每条边恰好一次的路径 (oi-wiki.org/graph/euler/)
树的直径|树中最长路径的长度 (oi-wiki.org/graph/tree-diameter/)
树的重心|删除后子树大小均不超过 n/2 的节点 (oi-wiki.org/graph/tree-centroid/)
树上差分|在树上进行差分操作，用于路径计数 (oi-wiki.org/basic/prefix-sum/#树上差分)
启发式搜索|Heuristic Search，利用估价函数加速搜索 (oi-wiki.org/search/heuristic/)
双向搜索|Bidirectional Search，从起点和终点同时搜索 (oi-wiki.org/search/bidirectional/)
迭代加深|Iterative Deepening，限制搜索深度的DFS (oi-wiki.org/search/iterative/)
A*算法|A-star，带启发式函数的搜索算法 (oi-wiki.org/search/astar/)
RMQ|Range Maximum/Minimum Query，区间最值查询 (oi-wiki.org/topic/rmq/)
