AC|Accepted / 答案正确，通过题目
WA|Wrong Answer / 答案错误，程序输出与预期不符
TLE|Time Limit Exceeded / 运行超时，程序效率太低
MLE|Memory Limit Exceeded / 内存超限，使用了超出允许范围的内存
RE|Runtime Error / 运行时错误，如数组越界、除零、栈溢出等
CE|Compile Error / 编译错误，代码语法问题或缺少头文件
UKE|Unknown Error / 未知错误，通常为评测机或系统问题
PE|Presentation Error / 格式错误，输出内容正确但格式（如空格、换行）不符合要求
OLE|Output Limit Exceeded / 输出超限，输出了大量多余内容
PC|Passed / 部分正确，常用于非ACM赛制，通过了部分测试点
SE|System Error / 系统错误，评测机或服务器出现问题
爆零|一道题或一场比赛得0分，通常因为全部WA或CE
卡常|通过常数级优化（如快读、寄存器、位运算）使程序在时间限制内通过
卡时|程序运行时间恰好卡在时间限制边缘，容易TLE
对拍|用暴力程序验证正解正确性的方法，常用于比赛调试
数据点|测试用例的单个测试点，通过一个数据点获得部分分数
随机化|依赖随机数的算法或调试方法，如随机数据对拍、随机化快速排序
IO优化|输入输出优化，如使用 scanf/printf 代替 cin/cout，或使用快读快写
快读|快速读入整数的方法，常用 getchar 实现
快写|快速输出整数的方法，常用 putchar 实现
龟速乘|防止64位乘法溢出的计算方法，常用于快速幂取模
打表|预先计算好答案存入数组，运行时直接输出
骗分|在不会正解的情况下，利用特殊性质或暴力获取部分分数
面向数据编程|根据数据范围和特点专门写针对性代码，甚至直接特判某些数据点
正解|题目的标准解法，能通过所有测试点
暴力|最直接的解法，通常复杂度高，只能通过部分数据点
玄学|无法用常规逻辑解释的现象，如“玄学优化”、“玄学过题”
O2|编译器优化选项 -O2，开启后程序运行效率提升
火车头|编译优化指令集合，如 #pragma GCC optimize(2)，用于卡常
SPJ|Special Judge / 特殊评测，答案不唯一时由评测程序判断正确性
交互题|程序需要与评测系统交互的题目，如通过询问获取信息
构造题|要求输出满足特定条件的解，而非计算结果
结论题|通过数学推导或观察得出直接结论的题目
思维题|侧重逻辑思维而非复杂算法的题目
码农题|代码量巨大，实现细节繁琐的题目
毒瘤题|难度极高或细节极其繁琐的题目，让人头疼
签到题|比赛中最简单、最快速能通过的题目
防AK题|用于阻止选手AK全场的压轴难题，通常出现在比赛最后一题
AK|All-Killed / 一场比赛中通过所有题目
rk|rank / 排名
CF|Codeforces 的缩写，全球最大竞赛平台之一
AT|AtCoder 的缩写，日本主流竞赛平台
复杂度|Complexity，算法运行时间或空间的增长量级，用 O() 表示 (oi-wiki.org/basic/complexity/)
O(1)|常数复杂度，与输入规模无关
O(n)|线性复杂度，与输入规模成正比
O(n^2)|平方复杂度，通常用于双重循环
O(log n)|对数复杂度，常见于二分查找、平衡树
O(n log n)|线性对数复杂度，常见于排序、线段树
O(2^n)|指数复杂度，常见于暴力枚举子集
常数|算法中与输入规模无关的固定开销
